title,source,label
Uighurs: EU imposes sanctions on Chinese officials over rights abuses,BBC News,1
Covid vaccines: EU tussle with UK over AstraZeneca escalates,BBC News,1
"'Hinkley woke me up,' says water activist Erin Brockovich",BBC News,1
Boston bombing: Tsarnaev's death sentence could be reinstated,BBC News,1
Sandra Oh gives passionate speech at Stop Asian Hate rally,BBC News,1
UK-EU vaccine supplies row shows no sign of easing,BBC News,0
David Dobrik quits app after associate accused of rape,BBC News,1
Bill de Blasio Calls for Slow Down of New York's Reopening,Breitbart News,0
Leaked Photos Reveal Biden’s Detention Cells for Migrant Children on Border,Breitbart News,0
"CBP Admits Release of Migrant Families Without Court Date, Downplays as Normal",Breitbart News,0
Watch: FNC's Faulkner Breaks into Trump Interview to Wrongly Report Resignation of Biden DHS Secretary,Breitbart News,0
Photos: Migrants Fly 'Biden 2020' Flag in Mexico While Awaiting U.S. Entry,Breitbart News,0
Exclusive — Charlie Hurt: China Gave Blinken a 'Swirly' in Anchorage,Breitbart News,0
Nolte: Border Statement Shows Twitter-less Trump Is A More Effective Trump,Breitbart News,0
Jen Psaki Defends Joe Biden's Fall on 'Tricky' Air Force One Stairs,Breitbart News,0
Survey: President Joe Biden Approval Slips Three Points,Breitbart News,1
"James O'Keefe Releases Photos of Border Facility, Taunts Jen Psaki for Denying Media Access",Breitbart News,1
Spa shootings could be first test of Georgia's new hate crime law,CNN,0
John Oliver calls out Meghan McCain's response to Atlanta shootings - CNN Video,CNN,0
Next batch of stimulus payments will include paper checks and debit cards,CNN,0
The most surprising thing about the border is that US presidents keep being surprised by it,CNN,1
How to help Asian Americans under attack,CNN,1
Atlanta spa shootings survivor recounts harrowing experience - CNN Video,CNN,1
Hate is haunting Asian Americans. Their fear underscores a racial reckoning that is far from over,CNN,0
Boulder police warn of 'active shooter at the King Soopers' supermarket,CNN,1
Officers handcuffed the husband of one of the spa shooting victims for hours after the attacks,CNN,0
Asian Americans demand change after shootings: 'I want people to finally hear us ... not only when we're trending',CNN,1
"Gen. Keane: Unlike Biden admin, Trump made sure allies knew we 'have their back'",Fox News,1
"Assemblyman Kim: Cuomo wanted 'me to lie, cover everything up' to protect him",Fox News,1
Ratcliffe: Pentagon report will prove 'a lot more' UFO sightings,Fox News,1
Exclusive look inside Minneapolis' George Floyd autonomous zone,Fox News,1
Photos of crowded migrant holding center in Texas released by Democratic congressman,Fox News,0
"Cuomo responds to shout from supporter amid scandals: ‘I'm not going anywhere, darling’",Fox News,1
Trump says China 'laughs' at Dr. Seuss controversy: 'They think our country is stupid',Fox News,1
Colorado police report 'active shooter' reported at grocery store,Fox News,1
"Meghan Markle, Prince Harry’s Oprah interview prompts Buckingham Palace to consider appointing diversity chief",Fox News,0
Trump calls out 'ridiculous' softball media coverage of Biden: 'It's a joke',Fox News,1
Facebook takes down Trump ads over 'organized hate' policy,Reuters,0
"Pelosi says Trump 'ethically unfit' for presidency, will continue oversight",Reuters,1
Mexico's foreign ministry says it will monitor U.S. DACA program developments,Reuters,1
Atlanta officer says he is not 'state's witness' in Rayshard Brooks case,Reuters,1
"S&P 500 closes nominally higher amid COVID-19 spikes, muted data",Reuters,1
"World stock markets slip on second wave virus fears, safe-havens rise",Reuters,1
"Trump unfit to be U.S. president, Democrat Pelosi, conservative Bolton agree",Reuters,0
Tesla wants to start building a new U.S. vehicle plant this summer,Reuters,0
Trump pledges new list of conservative Supreme Court contenders,Reuters,0
U.S. Supreme Court blocks Trump bid to end 'Dreamers' immigrant program,Reuters,0
White House press secretary Psaki holds news conference,The Washington Post,1
